Level,Slno,Item,Length
1,1,Survey Name,4
1,2,Year,4
1,3,FSU Serial No.,5
1,4,Sector,1
1,5,State,2
1,6,NSS-Region,3
1,7,District,2
1,8,Stratum,2
1,9,Sub-stratum,2
1,10,Panel,2
1,11,Sub-sample,1
1,12,FOD-Sub-Region,4
1,13,Sample SU No.,2
1,14,Sample Sub-division no.,1
1,15,Second-stage-stratum no.,1
1,16,Sample hhld. No.,2
1,17,Questionnaire No.,1
1,18,Level ,2
1,19,Survey Code,1
1,20,Reason for substitution Code,1
1,21,Multiplier,15
2,2,Year,4
2,3,FSU Serial No.,5
2,4,Sector,1
2,5,State,2
2,6,NSS-Region,3
2,7,District,2
2,8,Stratum,2
2,9,Sub-stratum,2
2,10,Panel,2
2,11,Sub-sample,1
2,12,FOD-Sub-Region,4
2,13,Sample SU No.,2
2,14,Sample Sub-division no.,1
2,15,Second-stage-stratum no.,1
2,16,Sample hhld. No.,2
2,2,Questionnaire No.,1
2,3,Level,2
2,4,Person Srl No.,2
2,5,Relation to head (code),1
2,6,Gender,1
2,7,Age(in years),3
2,8,Marital Status (code),1
2,9,Highest educational level attained (code),2
2,10,Total year of education completed,2
2,11,Whether used internet from any location during last 30 days,1
2,12,No. of days stayed away from home during last 30 days,2
2,13,No. of meals usually taken in a day,1
2,14,"No. of meals taken during last 30 days from school, balwadi etc.",2
2,15,"No. of meals taken during last 30 days from employer as
perquisites or part of wage",2
2,16,No. of meals taken during last 30 days  others,2
2,17,No. of meals taken during last 30 days on payment,2
2,18,No. of meals taken during last 30 days at home,2
2,19,Status of Member as on revisit,1
2,20,FDQ original member(generated field),1
2,21,Multiplier,15
3,2,Year,4
3,3,FSU Serial No.,5
3,4,Sector,1
3,5,State,2
3,6,NSS-Region,3
3,7,District,2
3,8,Stratum,2
3,9,Sub-stratum,2
3,10,Panel,2
3,11,Sub-sample,1
3,12,FOD-Sub-Region,4
3,13,Sample SU No.,2
3,14,Sample Sub-division no.,1
3,15,Second-stage-stratum no.,1
3,16,Sample hhld. No.,2
3,2,Questionnaire No.,1
3,3,Level,2
3,4,HH Size (For FDQ),2
3,5,Whether any household member (excluding those employed by the household and paying guests) was engaged in economic activities during last 365 days? ,1
3,6,NCO-2015 Code(3-digit),3
3,7,NIC-2008 Code(5-digit),5
3,8,Broad activities from which maximum income was derived by the household during last 365 days,1
3,9,Whether major source of income from self- employment was from agricultural / non- agricultural sector,1
3,10,Whether the major income from regular wage/salary earning from agricultural /non- agricultural sector,1
